,type,n,m,k,mean,std
118,1,1200,12000,5,0.597725,0.004238828818563741
119,1,1200,12000,6,0.5900833333333333,0.002849084756657365
120,2,1000,3000,3,0.6769333333333334,0.006339762818323136
121,2,1000,3000,4,0.6378666666666667,0.004190524290248244
122,2,1000,3000,5,0.6167666666666667,0.006210405445900401
123,2,1000,3000,6,0.6077666666666667,0.0059836196155591366
124,2,1000,6000,3,0.6240166666666667,0.005244897579293994
125,2,1000,6000,4,0.6014,0.003907258203224727
126,2,1000,6000,5,0.5861,0.003575637731256503
127,2,1000,6000,6,0.57765,0.004746961341248659
128,2,1000,10000,3,0.60009,0.0020572095447744503
129,2,1000,10000,4,0.58143,0.0022176313690261676
130,2,1000,10000,5,0.5734899999999999,0.0040001249980469705
131,2,1000,10000,6,0.56216,0.001918448447168826
132,2,1200,3600,3,0.6761666666666667,0.0040483192671637355
133,2,1200,3600,4,0.6342777777777778,0.006506828743849289
134,2,1200,3600,5,0.6153055555555556,0.0028432108146645685
135,2,1200,3600,6,0.6061666666666666,0.004751723389620647
136,2,1200,7200,3,0.6294444444444445,0.003344246538584824
137,2,1200,7200,4,0.5962777777777778,0.003135732598618827
138,2,1200,7200,5,0.5858611111111112,0.0031832196778021618
139,2,1200,7200,6,0.5772361111111111,0.005395634221821646
140,2,1200,12000,3,0.6016458333333333,0.0023340772623601505
141,2,1200,12000,4,0.5822037037037037,0.003374256891213407
142,2,1200,12000,5,0.5643333333333334,0.003269174207655559
